job_id,title,company,requirements,preferred,division,category,filtered_division,requirements_preferred
0,자율주행기술을 위한 인공지능 SW개발자 정규직 모집 (테슬라시스템),㈜테슬라시스템,"대졸이상, C++, Python, HTML, Java, 자율주행","석사이상, 정보통신, 전산학, 컴퓨터공학, 인공지능",응용소프트웨어 개발자,"서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, DBA, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 웹 퍼블리셔","대졸이상, C++, Python, HTML, Java, 자율주행, 석사이상, 정보통신, 전산학, 컴퓨터공학, 인공지능"
1,솔루션 사업부 개발자 신입/경력을 모집합니다.,㈜대유씨엔에이,"대졸이상, 경력 2년 이상","컴퓨터활용능력, 정보처리기사, 통신공학, 전산학, 컴퓨터공학, 응용소프트웨어공학",솔루션 사업부 개발자,"소프트웨어개발, 솔루션",,"대졸이상, 경력 2년 이상, 컴퓨터활용능력, 정보처리기사, 통신공학, 전산학, 컴퓨터공학, 응용소프트웨어공학"
4,모바일 APP 개발자 채용,㈜스노우온카드,API,"C++, 보안",모바일 APP 개발,"소프트웨어개발, 솔루션, SI, SM, 핀테크, SI개발, GUI, 반응형웹, 인터페이스, 핀테크, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 보안 엔지니어, 소프트웨어 개발자, 하드웨어 개발자, 클라우드 엔지니어, 웹 퍼블리셔","API, C++, 보안"
5,[근무지 포항] 백엔드 개발자 모집,에이엠스퀘어㈜,"백엔드, 서버, API, SQL, NoSQL, AI, TensorFlow, 보안","커뮤니케이션, DB, 데이터, Linux, Git, Docker, 시스템 설계, API, 시스템",백엔드 개발자 모집(※ 근무지: 포항),"빅데이터, 암호화폐, 증강현실, 데이터레이크, 인공지능, 챗봇, GUI, SI개발, 메타버스, 음성인식, 서버구축, 시스템분석, 서버관리, 정보보안, SI개발, SI개발, 메타버스, 증강현실, 데이터분석, 인터페이스, 분석모델링, 가상현실, 이미지프로세싱, 가상현실, 반응형웹, 음성인식, 클라이언트, 핀테크, 네트워크관리, 소프트웨어개발, 네트워크관리, 딥러닝","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 블록체인 개발자, 클라우드 엔지니어, 웹 퍼블리셔","백엔드, 서버, API, SQL, NoSQL, AI, TensorFlow, 보안, 커뮤니케이션, DB, 데이터, Linux, Git, Docker, 시스템 설계, 시스템"
6,연합인포맥스 채권 시스템 개발자 채용 [신입/경력],㈜연합인포맥스,"대졸이상, 커뮤니케이션, 병역필면제자, 전산, 컴퓨터공학, AI, C, C++, Python, Linux, Unix, RDBMS, Oracle, SQL","시스템, C, Redis, 정보처리기사, OCP",채권 서비스 개발 및 운영,"SI개발, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, 네트워크관리, 서버구축, 시스템운영, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, BI, 데이터분석, 데이터시각화, 분석모델링, 시스템분석, 시스템설계, SI개발, 시스템분석, 시스템설계","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 하드웨어 개발자, 클라우드 엔지니어","대졸이상, 커뮤니케이션, 병역필면제자, 전산, 컴퓨터공학, AI, C, C++, Python, Linux, Unix, RDBMS, Oracle, SQL, 시스템, Redis, 정보처리기사, OCP"
8,[한림대학교의료원] 26년도 상반기 직원 공채,한림대의료원(학교법인 일송학원),대졸이상,OA,일반행정,"문서관리, 문서작성, 전산입력, 자료조사, 행정, 송무담당, 문서관리, 비품관리, 자산관리, 복리후생, 서무, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 4대보험, 결산, 관리회계, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, 계산서발행, 기업회계, 4대보험, 결산, 급여관리, 부가세신고, 전표입력, ERP운용, 계산서발행, 부가세신고, 세무신고, 세무기장, 세무조정, 연말정산, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 서버관리, 네트워크관리, 서버구축, 시스템운영, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 유지보수, 정보통신, 통신설비, 전기배선, 전기설비, 통신설비, 배관·케이블, 전기점검, 시설점검","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 클라우드 엔지니어, 웹 퍼블리셔, QA","대졸이상, OA"
12,㈜제노코 각 부문별 신입/경력사원 모집 (코스닥 상장사-KAI 자회사),㈜제노코,"초대졸이상, 경력 5년 이상, 전자, 통신, 전기, 기계, 제조","통신, 제조, ERP, MS Office, 엑셀, 데이터, PPT",형상관리,"전자, 전자회로, 문서작성, 전산입력, 행정, 자산관리, 재무회계, SI개발, 인터페이스, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 금속, 메카트로닉스, 생산기술, 제품개발, 철강, 플랜트, CAM, 제어·설계, 무인항공기·드론, 기계조작, 로봇설계, 캐드원, 3D설계, 금형설계, 기구설계, 전기설계, 회로설계, CAM, 2D설계, 로봇설계, 유지보수, 임베디드, 펌웨어, 회로설계, PCB, 광통신, 무선통신, 위성통신, 이동통신, 전자통신, 정보통신, 회로설계, 유지보수, 에너지, 전기·전자, 정보통신·IT, 제품개발, R&D, 금속·철강, 로봇설계, 연구·실험·기술, 조선·항공·우주, 제조·공정, 생산관리, HACCP","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, DBA, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, AI/ML 엔지니어, 블록체인 개발자, 클라우드 엔지니어, QA","초대졸이상, 경력 5년 이상, 전자, 통신, 전기, 기계, 제조, ERP, MS Office, 엑셀, 데이터, PPT"
35,[윈덤 그랜드 부산] 각 부문별 신입 및 경력직 채용,윈덤그랜드부산,경력 3년 이상,커뮤니케이션,교육담당자(주임 ~ 대리)1명,"메뉴개발, 중식, 호텔리어, 고객안내, 메뉴개발, 베이커리, 중식, 호텔사무, 복리후생, 전략기획, 시장조사, 품질보증, SNS마케팅, 양식, 검증, 양식, 호텔, 고객안내, 샵마스터, 카페·블로그관리, 프로모션, 호텔, 서버관리, 시스템운영, 호텔, 교육행정, 교육기획, 서버구축, 일식, 컨시어지, 프런트, 한식, 호텔, 카운터, 고객응대, 네트워크관리, 메뉴개발, 컨시어지, 키워드광고, 한식, 교수설계, 메뉴개발, 베이커리, 호텔, 콘텐츠기획, 교육기획, 베이커리, HACCP, 브랜드기획, 서빙, 단체급식, 일식, 호텔, 데이터분석, 인사행정, 고객응대, 메뉴개발, 서버구축, 인사기획, 한식, 한식, 교육진행, 한식, 서버관리, 고객응대, 환경관리, 고객안내, 교육콘텐츠개발, 인사교육, 카운터, 시장분석, 프런트, ISO, 교재개발, 서빙, 행정","백엔드 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 사이언티스트, 보안 엔지니어, 하드웨어 개발자, 클라우드 엔지니어, QA","경력 3년 이상, 커뮤니케이션"
48,2026년 (주)인투알 각 부문별 수시채용,㈜인투알,"경력 10년 이상, 시스템, 시스템 설계","영어, 일본어",ESS System Engineer (팀장 1명),"고객관리, 관리회계, 부가세신고, 데이터관리, 전장설계, 4대보험, 거래처관리, 기구설계, CAM, 캐드원, 더존, 품질보증, SI개발, 기술지원, 행정, DBMS, 검증, 재무회계, 서버관리, 3D설계, 바이어개발, 서버구축, 시스템분석, 영어, 거래선개발관리, 네트워크관리, 문서작성, 전기설계, 계산서발행, 결산, 매출관리, CAM, 전표입력, 데이터분석, 데이터마이닝, 서무, 인사행정, 문서관리, 서버구축, CAM, 2D설계, 결산, 경영기획, 법인결산, 인사교육, 클라이언트, 네트워크관리, 생산기술, 일본어, 전산입력, 환경관리, CAD, 복리후생, 인사교육, HTTP, 국내영업, 기계설계, 노사관리","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, DBA, 데이터 사이언티스트, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, 클라우드 엔지니어, QA","경력 10년 이상, 시스템, 시스템 설계, 영어, 일본어"
184,[서초구 종합병원] 기쁨병원 각 부문 신입 및 경력 채용,기쁨병원,,,간호 조무사 | 외래,"러시아어, 리눅스, 약국, C#, 러시아, 영상의학, 이송, 주사, 주사실, EMR, OCS, 검진센터, 전문병원, 종합병원, 브랜드기획, 신사업기획, 연구기획, 전략기획, UI·UX기획, 시장조사, 데이터분석, 브랜드기획, 콘텐츠기획, 문서관리, 서무, 행정, 인사교육, 인사행정, 고객관리, SNS마케팅, 서버관리, 클라이언트, HTTP, 서버구축, UI·UX기획, 외자구매, 고객지원, 접수·예약, 고객경험관리, PLC, 유지보수, 정보통신, 통신설비, 시설점검, 병동간호사, 수술실간호사, 응급실간호사, 수간호사, 책임간호사, 마취간호사, 전문간호사, 검진센터간호사, 보험심사·청구, 수술실보조, 진료보조, 방사선사, 임상병리사, 원무, 보험심사·청구, 접수·예약, 외래, 의공기사, 초음파사, 동시통역","백엔드 개발자, 시스템 엔지니어, 네트워크 엔지니어, 데이터 사이언티스트, 소프트웨어 개발자, 게임 개발자",
