keyword,requirements,preferred,requirements_preferred
대졸이상,381,23,395
AI,209,300,372
커뮤니케이션,232,126,345
데이터,131,226,292
Python,222,85,286
시스템,118,201,271
영어,114,148,246
초대졸이상,236,1,236
분석,149,109,235
컴퓨터공학,98,127,215
Linux,114,83,177
석사이상,88,90,167
네트워크,96,94,164
C++,114,58,155
학력무관,153,0,153
컴퓨터,67,90,144
정보처리기사,6,139,143
문서작성,56,84,133
클라우드,43,104,132
연구,50,96,128
운전가능자,41,89,126
LLM,55,97,124
전자,56,61,112
C,84,35,112
Git,70,41,110
웹,63,61,110
API,69,54,107
소프트웨어,53,64,107
서버,49,69,107
Java,77,32,104
보안,38,86,99
AWS,23,79,97
논문,40,82,97
경력 2년 이상,80,15,95
SQL,63,33,93
경력 3년 이상,74,16,90
컴퓨터활용능력,5,84,89
React,58,41,89
PyTorch,64,26,88
전기,44,45,85
경력 1년 이상,68,15,80
Docker,31,50,78
백엔드,52,28,77
인근거주자,1,67,68
오픈소스,8,62,68
JavaScript,50,20,67
통신,27,47,67
포트폴리오,22,45,66
딥러닝,50,26,64
Kubernetes,22,51,64
알고리즘,41,31,64
데이터베이스,39,31,63
고졸이상,63,0,63
C#,42,27,62
TypeScript,44,23,61
컴퓨터 공학,37,29,61
DB,25,36,58
ML,25,39,58
병역필면제자,51,3,54
RAG,16,43,54
제어,24,39,52
CI,15,38,51
TensorFlow,34,19,50
Claude Code,26,29,49
장기근무,1,48,49
CD,15,35,48
Windows,34,19,47
프론트엔드,33,19,47
PostgreSQL,26,23,47
머신러닝,30,26,47
정보보안기사,1,46,47
OS,35,11,46
모델링,28,19,45
GitHub,18,32,45
MySQL,31,14,45
데이터 분석,21,31,44
에이전트,22,31,43
GCP,8,35,43
SW,21,25,43
경력 3년 이하,42,1,43
전문연구요원,38,4,42
정보통신,15,28,42
수학,22,25,42
Cursor,24,18,41
전자공학,25,17,41
인공지능,22,21,40
제조,6,37,40
해외출장,29,11,39
RDBMS,31,8,39
공학계열,11,27,38
GPU,10,33,38
CSS,31,8,38
Azure,4,33,37
정보통신공학,4,33,37
컨테이너,20,17,37
전산,11,27,37
하드웨어,19,24,37
일본어,13,26,36
임베디드,14,25,36
보훈대상자,3,33,36
기계,23,17,36
즉시출근,1,35,36
자동차,13,27,35
로봇,15,29,35
FastAPI,14,23,35
경력 5년 이상,28,7,34
HTML,27,6,33
Next.js,17,19,33
Spring,18,17,33
Claude,17,17,33
엑셀,9,26,33
중국어,11,25,32
Excel,22,10,32
OpenCV,12,22,32
통계,19,16,32
장애인,4,28,32
IP,14,18,31
NoSQL,23,8,30
ERP,4,27,30
정보보안,14,20,30
통계학,16,16,30
TCP,15,15,29
Oracle,14,16,29
CCNA,3,28,29
전산학,5,23,28
로그,17,14,28
MS Office,15,14,28
언어학,1,27,28
REST API,20,8,28
Spring Boot,17,11,28
Vision,10,21,28
경력 10년 이하,26,1,27
프리젠테이션,5,22,27
지방근무,3,24,27
물류,9,22,27
SaaS,9,17,26
센서,5,21,26
정보보호,13,15,25
교대근무,11,16,25
Vue,9,17,25
ChatGPT,10,16,25
LangChain,7,18,24
CS,19,8,24
응용소프트웨어공학,0,24,24
MariaDB,17,7,24
생성형 AI,4,21,24
출장가능자,14,11,24
DBMS,20,6,24
Network,15,9,24
시스템공학,1,23,24
Airflow,5,19,23
Word,16,9,23
Redis,9,17,23
자료구조,18,6,23
모바일 앱,6,16,22
