,대졸이상,AI,커뮤니케이션,데이터,Python,시스템,영어,초대졸이상,분석,컴퓨터공학,Linux,석사이상,네트워크,C++,학력무관,컴퓨터,정보처리기사,문서작성,클라우드,연구,운전가능자,LLM,전자,C,Git,웹,API,소프트웨어,서버,Java,보안,AWS,논문,경력 2년 이상,SQL,경력 3년 이상,컴퓨터활용능력,React,PyTorch,전기,경력 1년 이상,Docker,백엔드,인근거주자,오픈소스,JavaScript,통신,포트폴리오,딥러닝,Kubernetes
대졸이상,395,81,62,59,86,57,89,4,52,87,38,37,23,54,2,42,42,38,25,22,25,31,57,36,28,21,20,36,22,25,9,19,16,43,24,28,24,15,27,40,14,14,9,16,15,14,26,9,26,13
AI,81,372,127,167,127,104,72,11,113,59,42,81,25,35,19,25,11,31,46,81,5,97,17,20,43,42,61,27,36,25,16,42,65,21,33,20,4,35,60,10,12,41,41,1,32,25,12,37,40,26
커뮤니케이션,62,127,345,104,76,80,99,32,101,52,56,44,58,33,18,32,21,52,52,47,18,26,15,17,35,41,26,37,33,30,34,38,27,12,31,18,6,26,21,8,14,22,23,6,27,19,13,41,16,18
데이터,59,167,104,292,119,97,52,10,124,46,29,58,21,27,11,14,9,28,45,66,3,50,13,17,41,28,46,23,33,24,15,39,44,10,54,16,2,26,45,9,7,42,36,3,18,19,22,34,34,24
Python,86,127,76,119,286,98,25,11,75,64,73,71,27,85,13,31,9,27,49,39,7,64,21,55,48,26,43,32,38,40,19,44,41,20,42,20,3,29,54,18,5,39,27,1,33,24,18,10,43,27
시스템,57,104,80,97,98,271,27,18,73,37,65,39,48,51,11,35,16,31,49,33,17,36,29,40,38,32,38,30,36,37,32,42,28,17,31,15,5,31,29,21,9,31,35,4,22,22,22,5,22,30
영어,89,72,99,52,25,27,246,20,59,35,19,27,17,22,10,26,9,23,14,39,12,8,30,16,7,7,3,23,12,9,5,8,12,21,6,13,11,4,6,19,12,4,7,6,11,4,5,29,6,3
초대졸이상,4,11,32,10,11,18,20,236,7,47,18,3,32,10,0,27,52,23,9,4,41,0,16,10,5,6,3,9,14,11,21,3,0,20,6,21,37,6,3,16,36,3,2,24,0,6,13,3,0,3
분석,52,113,101,124,75,73,59,7,235,33,31,41,34,29,13,11,12,24,32,51,2,26,16,32,15,14,24,20,19,18,28,20,31,8,31,10,2,9,28,10,4,14,7,2,17,6,14,31,22,14
컴퓨터공학,87,59,52,46,64,37,35,47,33,215,36,40,27,34,19,14,44,22,20,24,16,19,27,19,26,18,10,23,21,19,17,13,21,13,20,15,16,13,20,17,20,15,8,8,12,8,13,8,15,10
Linux,38,42,56,29,73,65,19,18,31,36,177,16,59,50,12,25,28,15,40,9,11,16,13,42,33,12,15,15,41,32,30,26,4,8,23,14,3,8,10,12,7,29,9,1,17,10,7,7,9,21
석사이상,37,81,44,58,71,39,27,3,41,40,16,167,5,38,2,20,2,13,6,60,5,35,14,21,9,2,6,19,2,11,7,6,61,9,10,12,3,1,41,9,4,7,3,1,13,3,2,1,24,4
네트워크,23,25,58,21,27,48,17,32,34,27,59,5,164,14,16,17,29,19,38,4,22,8,8,18,10,11,6,4,41,10,45,17,3,12,9,6,7,5,1,5,7,9,6,5,9,7,12,2,1,14
C++,54,35,33,27,85,51,22,10,29,34,50,38,14,155,6,20,4,13,3,19,5,9,27,84,19,4,7,27,10,18,4,4,20,6,7,13,0,6,22,20,4,3,1,1,16,5,19,2,17,3
학력무관,2,19,18,11,13,11,10,0,13,19,12,2,16,6,153,13,13,14,8,2,30,4,9,6,7,16,7,7,11,5,8,5,1,8,4,8,17,7,1,10,10,4,7,16,1,4,5,10,1,3
컴퓨터,42,25,32,14,31,35,26,27,11,14,25,20,17,20,13,144,25,10,7,14,20,10,22,20,8,12,4,19,6,9,5,3,11,3,12,8,13,7,10,24,10,4,5,4,7,6,11,1,12,4
