,대졸이상,AI,커뮤니케이션,데이터,Python,시스템,영어,초대졸이상,분석,컴퓨터공학,Linux,석사이상,네트워크,C++,학력무관,컴퓨터,정보처리기사,문서작성,클라우드,연구,운전가능자,LLM,전자,C,Git,웹,API,소프트웨어,서버,Java,보안,AWS,논문,경력 2년 이상,SQL,경력 3년 이상,컴퓨터활용능력,React,PyTorch,전기,경력 1년 이상,Docker,백엔드,인근거주자,오픈소스,JavaScript,통신,포트폴리오,딥러닝,Kubernetes
대졸이상,395,81,62,59,86,57,89,0,52,87,38,37,0,54,0,42,42,38,0,0,0,31,57,36,0,0,0,36,0,0,0,0,0,43,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
AI,81,372,127,167,127,104,72,0,113,59,42,81,0,35,0,0,0,31,46,81,0,97,0,0,43,42,61,0,36,0,0,42,65,0,33,0,0,35,60,0,0,41,41,0,32,0,0,37,40,0
커뮤니케이션,62,127,345,104,76,80,99,32,101,52,56,44,58,33,0,32,0,52,52,47,0,0,0,0,35,41,0,37,33,30,34,38,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
데이터,59,167,104,292,119,97,52,0,124,46,0,58,0,0,0,0,0,0,45,66,0,50,0,0,41,0,46,0,33,0,0,39,44,0,54,0,0,0,45,0,0,42,36,0,0,0,0,34,34,0
Python,86,127,76,119,286,98,0,0,75,64,73,71,0,85,0,31,0,0,49,39,0,64,0,55,48,0,43,32,38,40,0,44,41,0,42,0,0,0,54,0,0,39,0,0,33,0,0,0,43,0
시스템,57,104,80,97,98,271,0,0,73,37,65,39,48,51,0,35,0,31,49,33,0,36,0,40,38,32,38,30,36,37,32,42,0,0,31,0,0,31,0,0,0,31,35,0,0,0,0,0,0,30
영어,89,72,99,52,0,0,246,0,59,35,0,0,0,0,0,0,0,0,0,39,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
초대졸이상,0,0,32,0,0,0,0,236,0,47,0,0,32,0,0,0,52,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,36,0,0,0,0,0,0,0,0,0
분석,52,113,101,124,75,73,59,0,235,33,31,41,34,0,0,0,0,0,32,51,0,0,0,32,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
컴퓨터공학,87,59,52,46,64,37,35,47,33,215,36,40,0,34,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux,38,42,56,0,73,65,0,0,31,36,177,0,59,50,0,0,0,0,40,0,0,0,0,42,33,0,0,0,41,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
석사이상,37,81,44,58,71,39,0,0,41,40,0,167,0,38,0,0,0,0,0,60,0,35,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
네트워크,0,0,58,0,0,48,0,32,34,0,59,0,164,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,41,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C++,54,35,33,0,85,51,0,0,0,34,50,38,0,155,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
학력무관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
컴퓨터,42,0,32,0,31,35,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정보처리기사,42,0,0,0,0,0,0,52,0,44,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
문서작성,38,31,52,0,0,31,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
클라우드,0,46,52,45,49,49,0,0,32,0,40,0,38,0,0,0,0,0,132,0,0,0,0,0,0,0,31,0,33,0,32,67,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,31
연구,0,81,47,66,39,33,39,0,51,0,0,60,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,33,0,0,0,0,0,0,0,0,30,0,0
운전가능자,0,0,0,0,0,0,0,41,0,0,0,0,0,0,30,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLM,31,97,0,50,64,36,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전자,57,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
C,36,0,0,0,55,40,0,0,32,0,42,0,0,84,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Git,0,43,35,41,48,38,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,38,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
웹,0,42,41,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
API,0,61,0,46,43,38,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,38,0,107,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
소프트웨어,36,0,37,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서버,0,36,33,33,38,36,0,0,0,0,41,0,41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java,0,0,30,0,40,37,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보안,0,0,34,0,0,32,0,0,0,0,30,0,45,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS,0,42,38,39,44,42,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,30,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
논문,0,65,0,44,41,0,0,0,31,0,0,61,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,32,0
경력 2년 이상,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQL,0,33,31,54,42,31,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경력 3년 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
컴퓨터활용능력,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
React,0,35,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,30,0,0,0,0
PyTorch,0,60,0,45,54,0,0,0,0,0,0,41,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,48,0
전기,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
경력 1년 이상,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
Docker,0,41,0,42,39,31,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,35
백엔드,0,41,0,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0
인근거주자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
오픈소스,0,32,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
JavaScript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,67,0,0,0,0
통신,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0
포트폴리오,0,37,41,34,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
딥러닝,0,40,0,34,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,64,0
Kubernetes,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,64
