Keyword,PageRank(시장지배력),Betweenness_Centrality(브릿지지수)
AI,0.08039015322671889,0.29676870748299317
Python,0.06914437077014947,0.18367346938775508
커뮤니케이션,0.06354872031518591,0.15306122448979592
시스템,0.06346610183040963,0.0586734693877551
데이터,0.060099627347679846,0.026360544217687073
대졸이상,0.05242024430106364,0.157312925170068
분석,0.03971112843073883,0.0
Linux,0.030466059903111558,0.0017006802721088435
컴퓨터공학,0.03033794282409394,0.09863945578231292
초대졸이상,0.029102742794563385,0.14795918367346939
석사이상,0.027810475229951923,0.0
클라우드,0.026955421986412754,0.004251700680272108
연구,0.02312202579779287,0.0
영어,0.02207980510601289,0.0
C++,0.021266729150426485,0.0
네트워크,0.01903379863629376,0.013605442176870748
논문,0.017187308874787522,0.0
API,0.015804901231609533,0.0
PyTorch,0.01578546646301198,0.0
Git,0.0157124533571689,0.0
LLM,0.014768013965714196,0.0
AWS,0.01466213245956593,0.0
서버,0.014432405186044077,0.0
C,0.014242170592651902,0.0
운전가능자,0.013690749997776861,0.03826530612244898
React,0.013442846989770116,0.03826530612244898
Docker,0.012186548858878939,0.0
정보처리기사,0.011406591503818373,0.0
SQL,0.01128570228263442,0.0
전자,0.011106911540741329,0.0
딥러닝,0.01061466356058094,0.0
보안,0.010156432127503645,0.0
웹,0.010005331325067325,0.0
포트폴리오,0.009502020653547274,0.0
문서작성,0.009029563174590556,0.0
전기,0.008646721640973786,0.0
백엔드,0.00862106535098664,0.0
컴퓨터,0.008592100415909394,0.0
Java,0.008407981372393108,0.0
소프트웨어,0.008376861088562186,0.0
학력무관,0.00808129628035003,0.0
Kubernetes,0.007202385314512484,0.0
컴퓨터활용능력,0.006465189919223971,0.0
경력 1년 이상,0.006375893498145067,0.0
오픈소스,0.00553525360526455,0.0
JavaScript,0.005277186962863003,0.0
경력 2년 이상,0.004956835736832435,0.0
경력 3년 이상,0.0031612223393045315,0.0
인근거주자,0.0031612223393045315,0.0
통신,0.0031612223393045315,0.0
