job_id,company,position,requirements,preferred
347499,미리디,[병역특례] 미리캔버스 에디터 엔지니어 [전문연구요원],"""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""
• 복잡한 도메인을 구조적으로 이해하고, 책임과 경계를 분리해 확장 가능한 형태로 설계할 수 있는 분
• 테스트·리뷰·유지보수성을 선택이 아닌 기본값으로 두고 개발하는 분
• 성능을 감이 아닌 측정과 데이터로 다루며, 병목을 분석하고 개선해본 경험 또는 태도
• 문서, 코드 리뷰, 토론을 통해 의사결정을 명확히 정리하고 팀의 합의를 만들어갈 수 있는 분","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""
• Canvas, SVG, WebGL, WebGPU 등 렌더링·그래픽스·인터랙션 영역의 개발 경험이 있는 분
• 대형 문서, 대규모 오브젝트, 복잡한 입력 이벤트 환경에서의 성능 최적화 경험이 있는 분
• 프레임워크·라이브러리·플러그인 등 확장 가능한 아키텍처 설계 경험이 있는 분
• Undo/Redo, Command 패턴, 상태 관리 등 편집 시스템 핵심 구조에 대한 설계 경험이 있는 분
• CI 기반의 테스트·린트·빌드·성능 회귀 등 품질 게이트를 구축하거나 운영해본 경험이 있는 분
• Claude Code, Cursor, OpenCode 등 agentic AI 도구를 개인 활용을 넘어 팀의 개발 워크플로우로 정착시킨 경험이 있는 분


| 미리디에서 활용하는 기술 스택
• 코어: React, Typescript, Next.js
• 상태관리: jotai, React-Query
• 스타일링: styled-components
• 빌드: Turborepo, Vite, Webpack, Rollup
• CI/CD: GitHub Actions"
326176,스튜디오랩(STUDIO LAB),Robotics SW Engineer,"• 프로그래밍 하나 이상의 언어(C계열(C++/C#) 또는 Python, Java등)를 활용하여 소프트웨어 설계 및 구현이 가능하신 분
• 데스크톱 앱, 장비 제어 프로그램, 자동화 시스템, 또는 유사한 응용 소프트웨어 개발 경험
• 기존 코드베이스를 분석하고 리팩토링 / 구조 개선 / 기능 확장을 수행한 경험
• 비동기 처리, 상태 관리, 예외 처리 등 실운영 소프트웨어 개발 경험
• API 연동, 데이터 처리, 모듈 분리 등 시스템 통합 경험
• 프로젝트를 주도적으로 진행하거나 핵심 모듈을 책임지고 개발한 경험
• 협업 과정에서 요구사항을 기술적으로 정리하고, 구조적으로 풀어낼 수 있는 분
• 에이전트 AI 추가","레거시 이해
 • C# 환경에 대한 이해 또는 실무 경험
 • .NET에 대한 이해 또는 실무 경험

 장비·하드웨어
 • Canon Camera SDK 등 카메라 SDK / 장비 SDK / 외부 라이브러리 연동 경험
 • UR, RB 등 협동로봇 제어 또는 로봇 SDK 연동 경험
 • Serial, Socket, TCP/IP, Modbus 등 장비·센서 통신 경험

 현대 스택
 • Python 기반 서비스, AI 추론 모듈, 분석 파이프라인 연동 경험
 • React 또는 웹 프론트엔드 구조에 대한 이해

 엔지니어링 깊이
 • 이미지 처리 관련 업무 경험
 • API 문서·SDK 문서를 빠르게 읽고 기능을 구현한 경험
 • 성능 최적화, 메모리 관리, GC 이슈 대응 경험
 • 라이브러리 / 공통 모듈 개발 경험

 팀 기여
 • 주니어 개발자 멘토링 또는 기술 리딩 경험
 • 현장 셋업, 테스트, 운영 안정화 경험"
278168,페이타랩(패스오더),DevOps Engineer,"【 이런 분을 찾고 있어요! 】 

• 클라우드 인프라 및 DevOps 환경 구축 및 아키텍처 설계 경험이 있는 분
• New Relic, Datadog, Pinpoint 등의 APM 솔루션을 이용해본 경험이 있는 분
• MSA 환경에서의 서비스 운영 경험이 있으신 분
• 쿠버네티스 기반의 운영 경험이 있으신 분
• 클라우드 아키텍처에 대한 이해도가 높으신 분
• 개발 환경에 대한 지표를 가시적인 데이터로 모니터링 하실 수 있는 분","【 이런 분이면 더 좋아요! 】

• 트래픽 관리를 위한 시스템 설계&개발 경험이 있는 분
• 대규모 MSA 환경에서 다양한 경험을 해보신 분
• 매우 빠르게 성장하는 서비스의 안정적인 운영을 위한 빠른 문제해결 능력을 갖추신 분
• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분 
• 보안 시스템 구축 경험이 있거나 최신 보안 이슈에 관심이 많으신 분"
321821,페이타랩(패스오더),"[주니어] 데이터 엔지니어 (Growth Data Engineer), 서울","• 데이터 엔지니어링 경력 2년 이상 혹은 그에 준하는 역량과 성과를 보유한 분
• Snowflake 등 클라우드 기반의 데이터 웨어하우스(DW) 모델링 및 데이터 마트 설계 및 운영 경험이 있으신 분
• 외부 데이터 소스(GA, AppsFlyer, 날씨 API 등) 연동 및 적재 경험이 있으신 분
• SQL, Python을 능숙하게 다룰 수 있는 분
• AARRR 모델, 퍼널 분석 및 코호트 분석 등 그로스해킹 관점의 지표와 분석 방법에 대한 이해가 있는 분","• Snowflake를 활용해 데이터 적재/권한설정/비용 최적화 등 운영 경험이 있으신 분
• AI/ML 파이프라인 설계 및 구현 경험이 있는 분
• dbt를 활용한 데이터 품질 관리 및 데이터 카탈로그 구축 경험이 있으신 분
• 빠르게 성장하는 IT 스타트업 환경, 특히 O2O·모바일 앱·식음료 도메인에서 근무한 경험이 있 분
• AI 툴을 활용한 리서치, 코드 생성, 자동화 등 업무 효율을 개선한 경험이 있는 분
• 조직 내 Data-Driven 문화 확산 및 데이터 리터러시 증대에 기여한 경험이 있는 분"
342219,딥아이,AI 엔지니어,"• 컴퓨터비전, 머신러닝, 전자/광학 영상 처리에 대한 전반적인 이해
• 영상처리 및 분석 관련 라이브러리 활용 경험 (OpenCV, Numpy, Scikit-Image 등)
• 머신러닝/딥러닝 기반 영상 처리 모델 구현 (TensorFlow, PyTorch 등)
• 대규모 또는 고해상도 이미지 데이터 처리 경험
• 팀 프로젝트, 산학연구 또는 기업 연구 수행 경험","• 산업용 머신비전 시스템 개발 또는 영상 검사 시스템 실무 경험
• 이미지 AI 모델의 경량화 및 실시간 추론 최적화 경험
• AI 기반 자동 검사 시스템 개발 또는 실증 경험
• MLOps 환경 구성 및 운영 경험 (MLflow, Docker, Kubernetes, Airflow 등)
• 논문 구현 또는 오픈소스 알고리즘 재현 및 기술 리포트 작성 경험
• 광학 시스템 또는 영상 센서에 대한 이해"
318805,씨디알아이(CDRI),AI Engineer,"• 컴퓨터 공학, 통계학 등 머신 러닝 관련 분야를 전공하신 분
• 딥러닝 프레임워크 활용에 능숙하신 분(Pytorch, Tensorflow 등)
• Google ADK와 같은 프레임워크를 사용해 Agentic AI를 개발한 경험이 있는 분
• LLM/AI 프로젝트 경험 (RAG, Context Engineering, MSA API 설계)
• 새로운 기술(바이브 코딩, MAS)에 적극적이고 능동적인 분
• 약속한 것을 지키고, 책임감 있게 일하는 태도","• 인공지능, 컴퓨터 공학 분야 석사 이상 학위 보유
• 머신러닝/딥러닝 분야 5년 이상 현업 경력
• 인공지능 분야 국내외 논문 출판 경험
• AWS ECS, Airflow, Redis, Celery를 활용한 클라우드 추론 인프라 구축 경험"
363826,그리드큐어,신호 측정·HW 검증 엔지니어,"• 전기·전자·제어계측 관련 학사 또는 석사 (졸업 또는 졸업예정)
• 회로 이론 + 신호처리 기본 이해 (푸리에 변환, 임피던스, 전송선로)
• 오실로스코프·신호발생기·VNA 등 기본 계측기 사용 경험
• MATLAB 또는 Python (numpy/scipy) 활용 데이터 분석
• 운전면허","• 학부 연구·졸업 프로젝트에서 측정 시스템 구축 경험
• PCB 회로·납땜·하드웨어 트러블슈팅 경험
• 석사/2년 이상 경력"
327899,소크라에이아이,AI Research Scientist (전문연구요원 가능),"• AI 관련 분야 석사학위 이상 또는 그에 준하는 경력을 가지신 분 (2년 이상의 AI 관련 프로젝트 경험)
• 단기간 내에 기획과 구현을 모두 경험하고 성과를 내고 싶으신 분","• 최신 기술 그 자체가 아닌, 기술을 활용해 실질적인 제품 가치를 창출하는 데 중점을 두시는 분
• LLM Workflow 및 Agentic System 관련 깊은 이해와 경험을 가지신 분
• 생성 모델링에 대한 깊은 이해와 경험을 가지신 분
• HCI 혹은 AI 관련 주요 학회 및 저널에 게재된 논문에 주요 저자로 참여하신 경험이 있으신 분

[근무 관련 안내]
• 병역특례 채용 가능"
315501,소울아트,AI Research Engineer,"저희는 요건을 넘어, 문제 해결과 기술에 관심있는 다양한 사람들과 이야기하고 싶습니다.
• 사무실 대면근무
• 인간 인식에 대한 깊은 관심
• Motion Detection, Optical Flow 등 다양한 CV 알고리즘에 대한 이해
• 실제 서비스 환경에서의 모델 성능 모니터링 및 개선 경험
• 이론적 연구를 넘어 실제 프로덕트로 이어질 수 있는 통찰과 책임감","우대사항에 대한 모든 업무를 담당하지 않으며 경험에 맞는 포지션 배치가 이루어집니다.
• RGB, Depth, LiDAR, IMU 등 다양한 물리 센서 기반 AI 모델 개발 경험
• Pose Estimation, Action Recognition 등 Human-centric한 AI 모델 개발 경험
• TensorFlow, PyTorch를 통한 ONNX 모델 개발 경험
• Docker, AWS를 통한 학습 파이프라인 경험
• CUDA, OpenCL등을 통한 GPGPU의 이해 (Custom Operator)
• 최신 논문 및 트렌드에 대한 이해
• 국제 학회 참가, 학술지 저술 등의 경험"
350980,소울아트,System Software Engineer (Embedded AI),"저희는 요건을 넘어, 문제 해결과 기술에 관심있는 다양한 사람들과 이야기하고 싶습니다.
• 사무실 대면근무
• Embedded 개발 경험
• 네이티브 프로그램 개발 경험 (Windows, Android, Linux 등)
• Edge AI 통합 경험
• 새로운 분야에 대한 탐구 및 도전이 즐거우신 분","우대사항에 대한 모든 업무를 담당하지 않으며 경험에 맞는 포지션 배치가 이루어집니다.
• Linux, Android System에 대한 이해
• 하드웨어 가속을 위한 커널 사용 경험 (CUDA, OpenCL 등)
• Yocto, Buildroot 등을 통한 Bring-up 경험
• 임베디드 OS 배포 및 관리 경험
• 임베디드 리눅스 환경에서의 보안 설계 경험"
